Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Year
Farmers Fresh Zone,2015.0,Kochi,Agriculture And Technology,FarmersFZ is an online venture for fresh and safe vegetables and agri products.,Pradeep PS,"Artha India Ventures, Nagaraja Prakasam",470000.0,Series G,2020
Invento,2016.0,Bangalore,Technology And Software,Invento Robotics specializes in developing service robots intended for customer interactions.,"Vineet Khanna, Varun Sadana, Aman Tekriwal","Chiripal Group, Ratish Kumar Nair",4000000.0,Seed Round,2020
Infurnia,2014.0,Bangalore,Technology And Software,Infurnia Technologies is an eponymous cloud-based architecture design software platform.,"Lovepreet Mann, Nikhil Kumar, Parul Jain","Pallav Nadhani, Idein Ventures",240000.0,Series B,2020
AnalytIQSports's SuperCric,2019.0,Bangalore,Technology And Software,SuperCric is India's first strategy Cricket Manager simulation game,"Suhail Chandhok, Arvind Sivdas, Dhanya Param",Alteria Capital,4000000.0,Pre-Seed,2020
GenieTalk,2016.0,Indore,Technology And Software,GenieTalk as a virtual assistant uses AI to bring conversation commerce with a personalised experience on the app.,"Santosh Kataria, Ankit Kimtee, Vivek Jain",Alteria Capital,750000.0,Series G,2020
Classplus,2018.0,Noida,Education And Learning,Classplus offers a mobile-first SaaS platform for 3000+ tutors to offer their curriculum and operations completely online.,"Bhaswat Agarwal, Bikash Dash, Mukul Rustagi, Vatsal Rustagi","Spiral Ventures, Surge",10000000.0,Seed,2020
Mobile Premier League,2018.0,Bangalore,Technology And Software,Mobile Premier League(MPL) is a skill based E-Sports platform where you can play your favourite mobile games,"Sai Srinivas Kiran G, Shubham Malhotra","Sequoia Capital India, Times Internet",74000000.0,Series B+,2020
Fourth Partner Energy,2010.0,Hyderabad,Energy And Environment,Fourth Partner Energy provides turnkey rooftop solar energy solutions for customers in India.,"Saif Dhorajiwala, Vikas saluguti, Vivek Subramanian","responsAbility, Grameen Impact India (GIII)",16000000.0,Series B,2020
Flipkart,2007.0,Bangalore,E-Commerce And Retail,Flipkart is an e-commerce marketplace that offers over 30 million products cross 70+ categories.,"Binny Bansal, Sachin Bansal","Tencent Holdings, Walmart",62000000.0,Seed,2020
Vivriti Capital,2017.0,Chennai,Finance,Vivriti Capital is a marketplace for small enterprises and individuals that lack efficient access to financial services.,"Aniket Deshpande, Gaurav Kumar, Irfan Mohammed, Soumendra Ghosh, Vineet Sukumar","Aspada, Creation Investments Capital Management, LLC",1000000.0,Series E,2020
InsuranceDekho,2017.0,Ludhiana,Finance,The funding for branding and marketing activities as well as strengthening the product and technology teams,Ankit Agrawal,GirnarSoft,20000000.0,Debt Financing,2020
BestDoc,2016.0,Kochi,Healthcare And Health Technology,An Intelligent Patient Relationship Management (PRM) system for hospitals and other healthcare providers in India.,"Afsal Salu, Fayaz Bin Abdu, Soudabi","Venture Catalysts, 9Unicorns Accelerator Fund",2100000.0,Series B,2020
Byju’s,2011.0,Bangalore,Education And Learning,An Indian educational technology and online tutoring firm,Byju Raveendran,"Owl Ventures, Tiger Global Management",500000000.0,Seed Round,2020
