Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Year
Puresh Daily,2019,Ranchi,Consumer Goods And Services,PUREandFRES-Milk delivers fresh milk directly from its farm to home. Fresh Milk without any trace of chemicals is packed and sealed in glass bottle.,"Manish Piyush, Ayush Kumar","Alfa Ventures, Agility Venture Partners",100000.0,Validation,2021
LearnVern,2016,Ahmedabad,Education And Learning,LearnVern.com is a training portal where anyone can learn any course in vernacular languages for free.,"Niral Modi, Aditi Modi",Not filled,1000000.0,Debt,2021
LimeChat,2020,Faridabad,Technology And Software,Limechat provides a personalised shopping experience for D2C companies on chat platforms using L3 conversational AI.,"Aniket Bajpai, Nikhil Gupta","Stellaris Venture Partners, Ramakant Sharma",7500000.0,Validation,2021
Dybo,2019,Bangalore,Technology And Software,Product Visualisation Technology for Commerce,Dhawal Jain,Spanache,100000.0,Validation,2021
moEVing,2021,Gurugram,Transport And Logistics,"Delivering clean, cost-effective and efficient mobility solutions.",VIKASH MISHRA,Not filled,1000000.0,Validation,2021
WeWork India,2017,Bangalore,Consumer Goods And Services,"Transform buildings into beautiful, collaborative workspaces and provide infrastructure, services, events and tech",Karan Virwani,Not filled,26000000.0,Equity,2021
Solethreads,2018,Gurugram,Fashion And Apparel,SOLETHREADS is a ‘Made in India’ footwear brand that’s creating a flip flop revolution.,Vikram Iyer,"DSG Consumer Partners, Saama Capital",1000000.0,Early Traction,2021
Beldara,2018,Mumbai,E-Commerce And Retail,"BELDARA.COM IS A GLOBAL B2B marketplace, enables businesses to sell worldwide.",Bhagwan (Pradeep) Khandekar,Hindustan Media Ventures,7400000.0,Equity,2021
CredFlow,2020,New Delhi,Finance And Technology,CredFlow provides financial solutions to automate your cashflows.,Kunal Aggarwal,"Stellaris Venture Partners, Omidyar Network India, Flourish Ventures",2000000.0,Validation,2021
Do Your Thng,2018,Gurugram,Marketing And Advertising,World's first shared economy platform for digital assets.,Ankit Agarwal,"Angelbay Holdings, Faad Network",1500000.0,Debt,2021
Oye Rickshaw,2017,Gurugram,Transport And Logistics,Oye Rickshaw is an electric vehicle energy solutions company that connects people with public transportation using a booking app.,"Akash Deep, Mohit Sharma","Alteria Capital, Chiratae Ventures",3000000.0,Debt,2021
Legitquest,2017,New Delhi,Human Resources And Consultancy,LegitQuest is a legal-tech company that operates a legal research platform with Indian case laws.,"Himanshu Puri, Karan Kalia, Rohit Shukla","WaterBridge Ventures, Info Edge",600000.0,Debt,2021
Swiggy,2014,Bangalore,Consumer Goods And Services,Swiggy is an on-demand food delivery platform that brings food from neighborhood restaurants directly to customers' doors.,"Nandan Reddy, Rahul Jaimini, Sriharsha Majety","Carmignac, Falcon Edge Capital",800000000.0,Scaling,2021
AntWak,2019,Bangalore,Education And Learning,AntWak provides a video platform for e-learning service.,"Basav Nagur, Joybroto Ganguly, Sudhanshu Shekhar, Sumit Gupta, Sriramkumar Sundararaman","Vaibhav Domkundwar, Kunal Shah",4000000.0,Validation,2021
PlayShifu,2016,Bangalore,Education And Learning,PlayShifu is an EdTech startup that offers teaching/learning tools for kids (4-12 years of age).,"Dinesh Advani, Vivek Goyal","Chiratae Ventures, Bharat Innovation Fund",17000000.0,Scaling,2021
Pitstop,2015,Bangalore,Automotive,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,"Mihir Mohan Mishra, Nirant Ramakuru, Ruchi Deepak","Acko Technology, Services, LetsVenture",3500000.0,Early Traction,2021
Lendingkart,1999,Gujarat,Finance And Technology,Lendingkart is an online financing company dedicated to help entrepreneurs and small businesses with Working Capital Loans.,"Harshvardhan Lunia, Mukul Sachan","Bertelsmann India Investments, Fullerton Financial Holdings",15000000.0,Debt,2021
CRED,2018,Bangalore,Finance And Technology,CRED is a members-only credit card management and bill payments platform that rewards users every time they pay their credit card bills.,Kunal Shah,"Dragoneer Investment Group, Tiger Global Management",215000000.0,Scaling,2021
Karnival,2015,Bangalore,Technology And Software,A SAAS platform for retailers and brands to create wonderful post purchase customer journeys using smart receipts technology,Neeraj Tyagi,http://100x.vc/,2500000.0,Validation,2021
